stationId,stationName,stationCountry,deviceSn,deviceType,deviceModel,online,state
,,,13101000DC180071,BATTERY,,,
,,,D257258348E0,COLLECTOR,,,
,,,D257258373F0,COLLECTOR,,,
,,,2401228421,INVERTER,,,
,,,2202144213,INVERTER,,,
,,,2337105481,COLLECTOR,,,
,,,2508215430,INVERTER,,,
,,,2740461151,COLLECTOR,,,
,,,2508215430BM01,BATTERY,,,
,,,2508215405,INVERTER,,,
,,,13101000DC180074,BATTERY,,,
,,,2508215405BM01,BATTERY,,,
,,,2202144226,INVERTER,,,
,,,2302230378,INVERTER,,,
,,,2202144244,INVERTER,,,
